n,repeats,before_mean_s,before_std_s,before_peak_kib,after_mean_s,after_std_s,after_peak_kib,speedup,mem_ratio
20000,9,0.004747828571583211,0.004140001123333691,1408.5234375,0.003071442858137224,0.00010438697082476464,1410.296875,1.5457974609570584,0.998742507672365
50000,9,0.008926514286161234,0.0004239008488057547,3614.5859375,0.010746442856803437,0.0005350244934301223,3618.015625,0.8306482810272396,0.9990520528777429
100000,9,0.02070217142889825,0.0008735804982668662,7328.1796875,0.02283387142857204,0.0013696486954863207,7334.484375,0.9066430759960226,0.9991404048086202
