scenario,n,before_mean_s,before_std_s,before_peak_kib,after_mean_s,after_std_s,after_peak_kib,speedup,mem_ratio,identical
supervised_csv,1000,0.03107491428922263,0.0017702923730139215,1656.509765625,0.010812957141232411,0.0005824169310062829,83.16796875,2.8738590085339832,19.9176412568691,True
meerkat_jsonl,1000,0.022040614288666154,0.009154840189125895,3649.841796875,0.01833082857150917,0.0017465726653334284,69.439453125,1.2023795979917102,52.561499732793294,True
supervised_csv,5000,0.1978459000030333,0.05302543359199631,8208.3115234375,0.07955834285946496,0.008415387135373001,84.98046875,2.4868026770305685,96.59056538726729,True
meerkat_jsonl,5000,0.14015308571314172,0.016342660914466536,18242.162109375,0.14382268571353052,0.007991883786221328,71.3427734375,0.9744852490955566,255.69740606392443,True
supervised_csv,20000,1.106020528571597,0.05668303573414571,32786.29296875,0.32554834285318585,0.019797466529533868,85.86328125,3.3974079513910613,381.8430007733952,True
meerkat_jsonl,20000,0.5881449714278071,0.02675497717444153,72938.9912109375,0.5438489714267364,0.04917968962273133,71.603515625,1.0814490829776957,1018.6509778783994,True
supervised_csv,50000,2.927272500000462,0.20092767520130936,81987.1083984375,0.8351655000026638,0.03915414227070821,85.86328125,3.5050208611240827,954.8564555752696,True
meerkat_jsonl,50000,1.442332285714136,0.06808167704526791,182332.859375,1.1554855571469358,0.10128358653398652,71.603515625,1.2482477836204782,2546.4232835983744,True
supervised_csv,100000,6.0776008571410784,0.15568839466360437,163802.3974609375,1.4738515571412532,0.16613924385164133,85.9814453125,4.123618031743616,1905.0900675790788,True
meerkat_jsonl,100000,2.8774733571439617,0.2605796484473235,364382.07421875,2.60977069999873,0.45163207575662045,71.7353515625,1.1025770797202077,5079.532842343139,True
