n,repeats,before_mean_s,before_std_s,after_mean_s,after_std_s,speedup
20000,9,0.029981257142415934,0.0005535690720067781,0.03190457142877027,0.0012290484309744705,0.9397166550051205
50000,9,0.08259717142729121,0.006473200471659563,0.07835462857058571,0.0028509663842123415,1.0541454019258556
100000,9,0.15298307142906456,0.0024400802402913912,0.15489461428660434,0.0019965612730532462,0.9876590747435362
200000,9,0.31161731428489603,0.005244583055390122,0.3091906142866979,0.00433299431732283,1.0078485564763875
